OFNS_DESC,total_count,CAT,percent
ASSAULT 3 & RELATED OFFENSES,285,MISDEMEANOR,28.00%
HARRASSMENT 2,234,VIOLATION,23.00%
ROBBERY,132,FELONY,13.00%
FELONY ASSAULT,99,FELONY,9.70%
CRIMINAL MISCHIEF & RELATED OF,81,MISDEMEANOR,7.90%
GRAND LARCENY,52,FELONY,5.10%
PETIT LARCENY,45,MISDEMEANOR,4.40%
MISCELLANEOUS PENAL LAW,43,FELONY,4.20%
OFF. AGNST PUB ORD SENSBLTY &,24,MISDEMEANOR,2.40%
UNAUTHORIZED USE OF A VEHICLE,24,MISDEMEANOR,2.40%
