OFNS_DESC,total_count,CAT,percent
HARRASSMENT 2,204,VIOLATION,25.60%
ROBBERY,186,FELONY,23.30%
ASSAULT 3 & RELATED OFFENSES,136,MISDEMEANOR,17.00%
GRAND LARCENY,62,FELONY,7.80%
FELONY ASSAULT,52,FELONY,6.50%
PETIT LARCENY,48,MISDEMEANOR,6.00%
OFF. AGNST PUB ORD SENSBLTY &,41,MISDEMEANOR,5.10%
CRIMINAL MISCHIEF & RELATED OF,37,MISDEMEANOR,4.60%
MISCELLANEOUS PENAL LAW,19,FELONY,2.40%
UNAUTHORIZED USE OF A VEHICLE,13,MISDEMEANOR,1.60%
