OFNS_DESC,total_count,CAT,percent
ASSAULT 3 & RELATED OFFENSES,298,MISDEMEANOR,27.20%
HARRASSMENT 2,221,VIOLATION,20.20%
ROBBERY,208,FELONY,19.00%
FELONY ASSAULT,83,FELONY,7.60%
CRIMINAL MISCHIEF & RELATED OF,79,MISDEMEANOR,7.20%
GRAND LARCENY,57,FELONY,5.20%
PETIT LARCENY,53,MISDEMEANOR,4.80%
OFF. AGNST PUB ORD SENSBLTY &,37,MISDEMEANOR,3.40%
UNAUTHORIZED USE OF A VEHICLE,30,MISDEMEANOR,2.70%
MISCELLANEOUS PENAL LAW,29,FELONY,2.60%
