OFNS_DESC,total_count,CAT,percent
ASSAULT 3 & RELATED OFFENSES,211,MISDEMEANOR,26.30%
HARRASSMENT 2,185,VIOLATION,23.10%
ROBBERY,103,FELONY,12.90%
FELONY ASSAULT,69,FELONY,8.60%
CRIMINAL MISCHIEF & RELATED OF,67,MISDEMEANOR,8.40%
GRAND LARCENY,47,FELONY,5.90%
PETIT LARCENY,40,MISDEMEANOR,5.00%
MISCELLANEOUS PENAL LAW,39,FELONY,4.90%
OFF. AGNST PUB ORD SENSBLTY &,20,MISDEMEANOR,2.50%
OFFENSES AGAINST PUBLIC ADMINI,20,MISDEMEANOR,2.50%
