Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
New York City AIDS Memorial,"200-218 West 12th Street New York, NY 10011, West Village",10011,-74.0006687,40.7372433,"200 w 12th st, new york, ny 10011, usa"
Peter Jay Sharp Theater at Julliard,"155 W. 65th St. Manhattan, NY 10023, Upper West Side",10023,-73.9833516,40.7738279,"155 w 65th st, new york, ny 10023, usa"
Chester A. Arthur House,"123 Lexington Ave. Manhattan, NY 10016, Midtown East",10016,-73.9820674,40.7427536,"123 lexington ave, new york, ny 10016, usa"
Chateau Stables,"608 W. 48th St. New York, NY 10036, Hells Kitchen",10036,-73.9963402,40.7647277,"608 w 48th st, new york, ny 10036, usa"
LIC Beer Project,"39-28 23rd Street NY 11101, Long Island City",11101,-73.9392266,40.7549273,"39-28 23rd st, long island city, ny 11101, usa"
Central Park's Rumsey Playfield,"14 E 71st St, New York, NY 10021",10021,-73.9666394,40.7711314,"14 e 71st st, new york, ny 10021, usa"
Christie’s Auction House,"20 Rockefeller Plaza New York, NY 10020, Midtown West",10020,-73.979789,40.7584233,"20 rockefeller plaza, new york, ny 10020, usa"
Lasker Rink,"830 5th Avenue New York, NY 10065, Central Park",10065,-73.9665138,40.7812199,"central park, new york, ny, usa"
Marble Collegiate Church,"1 W. 29th St. Manhattan, NY 10001, NoMad",10001,-73.9874759,40.7457812,"1 w 29th st, new york, ny 10001, usa"
Riverdale Park,"West 254 Street Bronx, NY 10463, Riverdale",10463,-73.9059685,40.901724,"w 254th st, the bronx, ny 10471, usa"
Brooklyn Army Terminal,"140 58th St. Brooklyn, NY 11220, Sunset Park",11220,-74.0239072,40.6455001,"140 58th st, brooklyn, ny 11220, usa"
NYC Department of Records and Information Services,"Visitor Center, 31 Chambers St., rm. 112 Manhattan, NY 10007, Lower Manhattan",10007,-74.0042781,40.7135271,"31 chambers st #112, new york, ny 10007, usa"
City Ice Pavilion,"47-32 32nd Place Queens, NY 11101, Long Island City",11101,-73.9336942,40.7415305,"47-32 32nd pl, long island city, ny 11101, usa"
Floyd Bennett Field,"50 Aviation Road Brooklyn, NY 11234, Brooklyn",11234,-73.8807732,40.5911545,"50 aviation rd, brooklyn, ny 11234, usa"
69th Regiment Armory,"68 Lexington Ave Manhattan, NY Midtown East",10010,-73.9842013,40.7413011,"68 lexington ave, new york, ny 10010, usa"
Federal Hall National Memorial,"26 Wall St Manhattan, NY 10005, Lower Manhattan",10005,-74.0103564,40.707258,"26 wall st, new york, ny 10005, usa"
Scandinavia House: The Nordic Center in America,"58 Park Ave. Manhattan, NY 10016, Murray Hill",10016,-73.980048,40.749454,"58 park ave, new york, ny 10016, usa"
NYRR RunCenter Featuring the New Balance Run Hub,"320 W. 57th St. Manhattan, NY 10019, Midtown West",10019,-73.9841223,40.7668002,"320 w 57th st, new york, ny 10019, usa"
Bowling Green Park,"Broadway and Whitehall St Manhattan, NY 10004, Lower Manhattan",10004,-74.0132798,40.7045406,"broadway & whitehall st, new york, ny 10004, usa"
New York Public Library for the Performing Arts,"40 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,-73.9849449,40.7731553,"metropolitan opera house, 40 lincoln center plaza, new york, ny 10023, usa"
Empire Stores,"53-83 Water Street NY 11201, DUMBO",11201,-73.9916363,40.7036641,"53-83 water st, brooklyn, ny 11201, usa"
Central Park Bandshell,"Mid-park, 66th to 72nd Sts Manhattan, NY, Central Park",10019,-73.9665138,40.7812199,"central park, new york, ny, usa"
The Players Theatre,"115 Macdougal St. Manhattan, NY 10012, Greenwich Village",10012,-74.0007016,40.7301811,"115 macdougal st, new york, ny 10012, usa"
Lefferts Historic House,"452 Flatbush Ave, Brooklyn, NY 11225",11225,-73.9637644,40.6643449,"452 flatbush ave, brooklyn, ny 11225, usa"
Ford Amphitheater at Coney Island Boardwalk,"3052 W. 21st St. Brooklyn, NY 11224, Coney Island",11224,-73.987686,40.5730829,"3052 w 21st st, brooklyn, ny 11224, usa"
MetLife Building,"200 Park Ave. Manhattan, NY 10166, Midtown East",10166,-73.9766668,40.7533488,"metlife building, 200 park ave, new york, ny 10166, usa"
Valentine-Varian House,"3266 Bainbridge Ave. Bronx, NY 10458, The Bronx",10458,-73.879464,40.8773575,"3266 bainbridge ave, the bronx, ny 10467, usa"
Bronx Council on the Arts,"1738 Hone Ave. Bronx, NY 10461, The Bronx",10461,-73.8542254,40.848548,"1738 hone ave, the bronx, ny 10461, usa"
NFL Experience Times Square,"20 Times Square, 701 Seventh Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,-73.9842612,40.7593017,"20 times sq, new york, ny 10036, usa"
Randall's Island Park,"East and Harlem Rivers Manhattan, NY 10035, Randalls Island",10035,-73.9271644,40.794065,"new york, ny 10035, usa"
Ed Sullivan Theater,"1697 Broadway Manhattan, NY 10019, Midtown West",10019,-73.9828773,40.7636846,"1697 broadway, new york, ny 10019, usa"
Essex Street Market,"120 Essex St. Manhattan, NY 10002, Lower East Side",10002,-73.9875483,40.7191831,"120 essex st, new york, ny 10002, usa"
The Conference House Museum,"298 Satterlee St Staten Island, 10307, Tottenville",10307,-74.2516794,40.4994176,"298 satterlee st, staten island, ny 10307, usa"
Pier 45,"Enter at Christopher St and the West Side Highway Manhattan, NY 10014, West Village",10014,-73.9914741,40.7755364,"west side hwy, new york, ny, usa"
Riverbank State Park Ice Rink,"679 Riverside Dr. Manhattan, NY 10031, Harlem",10031,-73.952552,40.8269525,"679 riverside dr, new york, ny 10031, usa"
American Stock Exchange Building,"86 Trinity Place New York, NY 10006, Lower Manhattan",10006,-74.0126146,40.708678,"86 trinity pl, new york, ny 10006, usa"
Pier 40,"353 West St Manhattan, NY 10014, Greenwich Village",10014,-74.0122049,40.7288194,"353 west st, new york, ny 10014, usa"
Long Island City Partnership,"mail: 27-01 Queens Plaza North, 9th fl. Queens, NY 11101, Long Island City",11101,-73.9387435,40.7508189,"27-01 queens plaza n #9th, queens, ny 11101, usa"
"The Great Hall, Cooper Union","7 East 7th Street Manhattan, NY 10003, East Village",10003,-73.9904866,40.7294081,"foundation building, 41 cooper square, 7 e 7th st, new york, ny 10003, usa"
Czech Center New York,"321 E 73rd St Manhattan, NY, Upper East Side",10021,-73.9564666,40.7689984,"321 e 73rd st, new york, ny 10021, usa"
The Malcolm X and Dr. Betty Shabazz Memorial & Educational Center,"3940 Broadway Manhattan, NY, Harlem",10032,-73.9402071,40.8389411,"3940 broadway, new york, ny 10032, usa"
79th Street Boat Basin,"W 79th St and the Hudson River Manhattan, NY 10024, Upper West Side",10024,-73.9799099,40.7838215,"w 79th st, new york, ny, usa"
New York City Center,"W. 55th St. betw. Sixth & Seventh Aves.; mail: 130 W. 56th St. Manhattan, NY 10019, Midtown West",10019,-73.985207,40.7660018,"w 55th st, new york, ny, usa"
Electric Lady Studios,"52 W 8th St New York, NY 10011 West Village",10011,-73.9989778,40.7330355,"52 w 8th st, new york, ny 10011, usa"
Harlem Park to Park,"mail: 134 W. 118th St., ground fl. Manhattan, NY 10026, Harlem",10026,-73.9502985,40.8037892,"134 w 118th st, new york, ny 10026, usa"
St. Bartholomew's Church,"325 Park Ave Manhattan, NY, Midtown East",10022,-73.9731084,40.7572236,"325 park ave, new york, ny 10022, usa"
Kissena Golf Course,"16415 Booth Memorial Ave Queens, NY 11365, Fresh Meadows",11365,-73.7992634,40.7449083,"16415 booth memorial ave, fresh meadows, ny 11365, usa"
Riverside Park South,"Henry Hudson Parkway at W. 70th St. Manhattan, NY 10023, Upper West Side",10023,-73.9822179,40.7771556,"w 70th st, new york, ny 10023, usa"
Poets House,"10 River Terr. Manhattan, NY 10282, Battery Park City",10282,-74.0162945,40.7158788,"10 river terrace, new york, ny 10282, usa"
