Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
Washington Square Park,"W 4th St to Waverly Pl Manhattan, NY 10003, Greenwich Village",10003,-74.0013982,40.7344914,"waverly pl, new york, ny, usa"
Waterfront at Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,-74.0153339,40.7140744,"230 vesey st, new york, ny 10080, usa"
Wave Hill,"675 W. 252nd St. Bronx, NY 10471, Riverdale",10471,-73.9112822,40.9004001,"675 w 252nd st, the bronx, ny 10471, usa"
Wildlife Conservation Society,"2300 Southern Blvd. Bronx, NY 10460, The Bronx",10460,-73.8784819,40.8502486,"2300 southern blvd, the bronx, ny 10460, usa"
Williamsburg Bridge,"Williamsburg, New York, NY 11104",11104,-73.9198161,40.7448741,"long island city, ny 11104, usa"
Woodlawn Cemetery,"Webster Ave. & E. 233rd St.; second entrance: Jerome Ave. at Bainbridge Ave. Bronx, NY 10470, Woodlawn",10470,-73.8875183,40.8647526,"webster ave, the bronx, ny, usa"
World Trade Center Transportation Hub,"New York, NY, Lower Manhattan",10007,-74.0006686,40.7208595,"lower manhattan, new york, ny, usa"
Wyckoff Farmhouse Museum,"5816 Clarendon Rd. Brooklyn, NY 11203, Midwood",11203,-73.9207576,40.64433,"5816 clarendon rd, brooklyn, ny 11203, usa"
African Burial Ground National Monument,"290 Broadway Manhattan, NY 10007, Tribeca",10007,-74.0044661,40.714534,"ted weiss federal building, 290 broadway, new york, ny 10007, usa"
Manhattan Bridge,"Enter at Bowery between Canal and Bayard Streets (Manhattan side) Manhattan, NY 10002, Manhattan",10002,-73.9974405,40.7153357,"bayard st, new york, ny 10002, usa"
Conservatory Garden,"Fifth Ave and 105th St Manhattan, NY 10029, Central Park",10029,-73.9498027,40.7939379,"35 e 106th st, new york, ny 10029, usa"
Mount Vernon Hotel Museum & Garden,"421 E. 61st St. Manhattan, NY 10065, Upper East Side",10065,-73.959733,40.7605388,"421 e 61st st, new york, ny 10022, usa"
St. George Theatre,"35 Hyatt St. Staten Island, NY 10301, St. George",10301,-74.0775162,40.6419756,"35 hyatt st, staten island, ny 10301, usa"
Explorer Pass,"151 W 34th St, New York, NY 10001",10001,-73.9890634,40.7508631,"151 w 34th st., new york, ny 10001, usa"
